Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",0,Grove Press,Hardcover,118,2021,2021,,2025/03/12,to-read,to-read (#54),to-read,,,,0,0
22034,"The Godfather (The Godfather, #1)",Mario Puzo,"Puzo, Mario","Robert Thompson, Peter Bart","=""""","=""""",5.0,NAL,Paperback,428,2002,1969,2025/02/25,2025/02/18,,,read,,,,1,0
175735867,Douglas Adams's Starship Titanic,Terry Jones,"Jones, Terry",Douglas Adams,"=""1761268708""","=""9781761268700""",2.0,Macmillan,Kindle Edition,218,2023,1997,2025/02/08,2025/01/11,,,read,,,,1,0
670679,Incredible Adventures of Professor Shonku,Satyajit Ray,"Ray, Satyajit",,"=""0140245928""","=""9780140245929""",0,Penguin Books Australia,Paperback,196,1994,1994,,2025/02/15,to-read,to-read (#53),to-read,,,,0,0
29815670,Insider,R.V. Raman,"Raman, R.V.",,"=""935195031X""","=""9789351950318""",4.0,Hachette,Paperback,352,2016,,2025/02/14,2025/01/21,,,read,,,,1,0
39704054,Chemmeen,തകഴി |Thakazhi Sivasankara Pillai,"Pillai, തകഴി |Thakazhi Sivasankara",Anita Nair,"=""9352774930""","=""9789352774937""",4.0,HarperCollins India,Paperback,288,2018,1956,2025/01/11,2022/09/28,,,read,,,,1,0
62069739,When We Cease to Understand the World,Benjamín Labatut,"Labatut, Benjamín",Adrian Nathan West,"=""""","=""""",0,New York Review Books,Kindle Edition,193,2022,2020,,2025/01/02,to-read,to-read (#52),to-read,,,,0,0
6369447,मृत्युंजय [Mrutyunjay],Shivaji Sawant,"Sawant, Shivaji",,"=""""","=""""",0,Continental,Paperback,697,,1967,,2025/01/01,to-read,to-read (#51),to-read,,,,0,0
48508077,Gathering Evidence,Martin MacInnes,"MacInnes, Martin",,"=""1786493462""","=""9781786493460""",0,Atlantic Books,Kindle Edition,320,2020,2020,,2024/10/31,to-read,to-read (#50),to-read,,,,0,0
17718835,How Forests Think: Toward an Anthropology Beyond the Human,Eduardo Kohn,"Kohn, Eduardo",,"=""0520276116""","=""9780520276116""",0,University of California Press,Paperback,267,2013,2013,,2024/10/27,to-read,to-read (#49),to-read,,,,0,0
59808603,The Mountain in the Sea,Ray Nayler,"Nayler, Ray",,"=""0374605955""","=""9780374605957""",4.0,MCD,Hardcover,456,2022,2022,2024/10/27,2024/10/20,,,read,,,,1,0
2459963,Indira Gandhi: The First Biography,Ela Sen,"Sen, Ela",,"=""0720600634""","=""9780720600636""",4.0,Peter Owen,Hardcover,198,1973,,2024/10/16,2024/10/10,,,read,,,,1,0
5942,Anil's Ghost,Michael Ondaatje,"Ondaatje, Michael",,"=""0375724370""","=""9780375724374""",0,Vintage,Paperback,311,2001,2000,,2024/10/13,to-read,to-read (#48),to-read,,,,0,0
11713,The English Patient,Michael Ondaatje,"Ondaatje, Michael",,"=""0771068719""","=""9780771068713""",0,McClelland & Stewart,Hardcover,320,2006,1992,,2024/10/13,to-read,to-read (#47),to-read,,,,0,0
55873262,A Passage North,Anuk Arudpragasam,"Arudpragasam, Anuk",,"=""0593230701""","=""9780593230701""",0,Hogarth,Hardcover,304,2021,2021,,2024/10/13,to-read,to-read (#46),to-read,,,,0,0
57224204,The Seven Moons of Maali Almeida,Shehan Karunatilaka,"Karunatilaka, Shehan",,"=""1908745908""","=""9781908745903""",4.0,Sort of Books,Hardcover,386,2022,2022,2024/10/10,2024/09/22,,,read,"_The Seven Moons of Maali Almeida_<br/><br/>“Even on the sad days, when you have to process young children or those leaving lovers behind, you come to realise that every death is significant, even when every life appears not to be”<br/>Shehan Karunatilaka, The Seven Moons of Maali Almeida<br/><br/><br/>It is 1990, Colombo, Sri Lanka. Maali Almeida is dead and he has seven moons or 7 nights to find out the why’s, who’s and how’s about his death. <br/><br/>In his life, he was a professional war photographer, specifically Sri lankan civil war. During his lifetime, Maali was not particularly concerned with the ethics or morality either in professional or personal life. He worked for anyone who interested him, his main objective being to gather intelligence photographs which he believed would help in ending the war and toppling down the government.  <br/><br/>The writing style reminds me a little of Salman Rushdie with heavy magical realism interspersed with political satire and historical context. Narrated in second person style, #shehankarunatilaka takes us through the darkest periods of Srilankan history. <br/><br/>The author boldly writes about the various warring factions within Sri Lanka and the international armies and intelligence agencies who enter with the promise of aid but contribute  as much to the existing civil unrest. <br/><br/>The narrative does fall a little slow and repetitive at times, but not enough to stop reading. It is immersive, compelling and a powerful story. Worthy of the 2022 international booker prize. ",,,1,0
290380,Indira Gandhi: My Truth,Indira Gandhi,"Gandhi, Indira",Emmanuel Poughpadass,"=""0394179765""","=""9780394179766""",0,Grove Pr,Paperback,200,1982,1982,,2024/10/10,to-read,to-read (#45),to-read,,,,0,0
